mammal,threatened_status,body_size,plant_species,family,native_introduced,fleshy_dry,dehiscent_indehiscent,number_s_per_f,s_width,f_width,citations
Didelphis marsupialis,NT,S,Phytelephas aequatorialis,Arecaceae,N,F,I,5.320519836,31.867,26.48133333,Escobar 2020
Didelphis marsupialis,NT,S,Mauritia flexuosa,Arecaceae,N,F,I,1,36.66666667,36.42056075,Acevedo-Quintero 2016
Eira barbara,NT,S,Euterpe edulis,Arecaceae,N,D,I,1,11,13.85185185,"Campos 2012, Galetti 2013"
Eira barbara,NT,S,Syagrus romanzoffiana,Arecaceae,N,F,I,1,NA,24.17821782,Mendes 2016
Lagothrix lagothricha,T,S,Bellucia pentamera,Melastomataceae,N,F,I,500,0.25,17.69583333,Stevenson 2007
Lagothrix lagothricha,T,S,Henriettella fissanthera,Melastomataceae,N,F,I,86.66666667,0.375,4,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Bellucia grossularioides,Melastomataceae,N,F,I,NA,0.741666667,14.16666667,Echeverry 2020
Lagothrix lagothricha,T,S,Hebepetalum humiriifolium,Linaceae,N,F,I,5,0.75,6.25,Gonzalez 2014
Lagothrix lagothricha,T,S,Ficus sphenophylla,Moraceae,N,F,I,19,0.75,9.416666667,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus pertusa,Moraceae,N,F,I,53.83647505,0.75,9.381818182,Stevenson 2000
Lagothrix lagothricha,T,S,Cecropia angustifolia,Urticaceae,N,F,I,1086,0.796,9.225,"Ramirez 2013, Ramirez 2014"
Lagothrix lagothricha,T,S,Ficus trigona,Moraceae,N,F,I,187.2727273,0.875,17.5,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus obtusifolia,Moraceae,N,F,I,690.0128205,0.9,24,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus americana,Moraceae,N,F,I,114.9411765,0.958333333,14.81842105,"Stevenson 2000, Stevenson 2007, Angarita 2002"
Lagothrix lagothricha,T,S,Ficus andicola,Moraceae,N,F,I,114.9411765,0.958333333,14.81842105,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus guianensis,Moraceae,N,F,I,114.9411765,0.958333333,12.3537037,"Stevenson 2000, Stevenson 2007"
Lagothrix lagothricha,T,S,Ficus usiacurina,Moraceae,N,F,I,1104,0.98,24,Stevenson 2000
